5462	<nul>
949	鳄
3891	胆
1739	蜈
4410	肃
1569	榧
5345	尖
1850	蛐
727	请
4974	妓
4629	叮
4280	筋
4220	髻
2281	坪
5184	窘
2062	角
160	收
1154	熨
5358	芭
4011	琅
2671	衷
4364	漏
3008	戮
4360	锵
3424	弼
1414	霸
4793	耍
4987	昆
4350	迦
3760	癫
128	七
1460	诉
1009	怪
5431	棋
4034	迭
1351	虑
4598	沸
2766	毒
57	专
4969	稞
29	房
1129	统
1607	嘻
3562	麋
3024	忙
5003	旧
1779	篮
2038	阅
3186	眈
2009	茂
1863	矩
392	径
3032	悼
200	世
4866	v
4117	俐
2697	矜
1361	渔
3502	葳
1825	炉
539	接
3279	港
1975	祚
2017	飚
2796	芫
1475	奖
1056	宀
1823	貉
4081	顿
3058	伙
913	雉
2645	丸
192	中
2035	淞
1260	强
3068	典
1131	寸
2245	桁
2083	擘
4645	蓑
2579	怂
5228	炸
1680	焯
3873	裆
1408	帖
2714	磴
35	7
457	松
3857	柩
2055	麂
3030	契
3201	诱
4711	萜
1512	队
3878	腐
1520	冰
4764	巅
3372	寤
840	么
2365	萎
2996	枉
3031	瓜
2614	享
3138	蕹
4904	愤
2414	臧
1108	瘿
2052	闺
202	古
2879	蚜
2421	骠
4390	罐
1611	郓
1423	娩
3260	冶
837	荒
510	鲤
611	僚
5264	蝶
4930	沓
5013	罂
1127	清
2135	慑
1264	揉
957	甸
2118	岖
107	在
4967	铖
3446	秋
1248	烬
5442	蟾
2779	钱
4743	瓦
4438	磬
2396	痘
2865	杳
4972	掀
4624	撅
3534	尾
520	训
1338	岁
1040	抿
1003	浈
3526	疸
1391	您
4586	肆
364	敏
2519	绠
439	甥
4557	盔
4144	蒙
2923	晌
751	钚
4545	殆
373	来
4689	郫
1422	婴
3035	曾
1432	隆
2051	舟
4349	仝
5244	耽
788	丧
3624	柄
351	油
2418	眯
4735	缎
1563	瀚
4864	趵
2186	稻
1726	碑
4680	噻
4919	笨
3229	粳
4359	碴
4150	阵
4816	剡
3970	谋
3909	弹
503	建
3111	碧
3527	滋
962	罩
2003	铆
1070	薯
3366	歧
5161	匆
